,model,L,AIC,AICc,BIC,N,p
288,rtREV,-136.163824,298.327648,662.327648,305.67199,13,0.7898202046083219
270,PMB,-138.435116,302.870233,666.870233,310.214574,13,0.08149264986345256
54,DEN,-138.721617,303.443234,667.443234,310.787575,13,0.06119174718184442
72,Blosum62,-139.780998,305.561996,669.561996,312.906337,13,0.02121336336409131
342,WAG,-139.932115,305.864229,669.864229,313.208571,13,0.018238136802726804
180,LG,-140.329945,306.65989,670.65989,314.004232,13,0.012251940473616201
324,VT,-140.473531,306.947063,670.947063,314.291405,13,0.01061319279406689
36,DCMut,-142.533122,311.066243,675.066243,318.410585,13,0.0013532482729298374
18,Dayhoff,-142.546794,311.093588,675.093588,318.437929,13,0.0013348718976817207
162,JTT-DCMut,-142.550734,311.101469,675.101469,318.44581,13,0.0013296221850082278
144,JTT,-142.74004,311.48008,675.48008,318.824421,13,0.0011003071085788608
0,cpREV,-145.663712,317.327425,681.327425,324.671767,13,5.912607978758602e-05
306,stmtREV,-149.63569,325.271379,689.271379,332.615721,13,1.1137081345173731e-06
90,FLU,-151.059265,328.118529,692.118529,335.462871,13,2.682381991128681e-07
252,mtZOA,-151.344778,328.689556,692.689556,336.033898,13,2.0161539319567368e-07
198,mtART,-155.526818,337.053636,701.053636,344.397977,13,3.078128826238848e-09
234,mtREV,-155.649327,337.298653,701.298653,344.642995,13,2.7232156013193277e-09
297,rtREV+G8,-133.325005,294.650009,714.650009,302.5593,14,3.4345663302115495e-12
63,DEN+G8,-135.354187,298.708374,718.708374,306.617665,14,4.5144946802533925e-13
290,rtREV+IO,-136.018987,300.037974,720.037974,307.947265,14,2.3221494884846387e-13
289,rtREV+IC,-136.14367,300.287339,720.287339,308.19663,14,2.0499404837171923e-13
279,PMB+G8,-136.424613,300.849225,720.849225,308.758516,14,1.5478513762684387e-13
351,WAG+G8,-137.601226,303.202452,723.202452,311.111743,14,4.772352421176494e-14
81,Blosum62+G8,-137.707344,303.414687,723.414687,311.323978,14,4.291867072901508e-14
55,DEN+IC,-138.054657,304.109315,724.109315,312.018606,14,3.0325621412733983e-14
272,PMB+IO,-138.12965,304.2593,724.2593,312.168591,14,2.813460874330372e-14
189,LG+G8,-138.179205,304.35841,724.35841,312.267701,14,2.6774379631776674e-14
56,DEN+IO,-138.202352,304.404703,724.404703,312.313994,14,2.6161763761288923e-14
271,PMB+IC,-138.264322,304.528644,724.528644,312.437935,14,2.4589719433531195e-14
333,VT+G8,-138.267474,304.534947,724.534947,312.444238,14,2.451234691651841e-14
171,JTT-DCMut+G8,-138.971419,305.942839,725.942839,313.85213,14,1.212453331240021e-14
153,JTT+G8,-139.18343,306.36686,726.36686,314.276151,14,9.808216437387883e-15
45,DCMut+G8,-139.246319,306.492637,726.492637,314.401928,14,9.210387713395217e-15
27,Dayhoff+G8,-139.259546,306.519093,726.519093,314.428384,14,9.089354980074036e-15
74,Blosum62+IO,-139.522952,307.045904,727.045904,314.955195,14,6.9845351893855694e-15
344,WAG+IO,-139.646221,307.292442,727.292442,315.201733,14,6.174509501377965e-15
73,Blosum62+IC,-139.681566,307.363131,727.363131,315.272422,14,5.960086213851112e-15
343,WAG+IC,-139.768665,307.537331,727.537331,315.446622,14,5.462928200100553e-15
326,VT+IO,-140.11799,308.23598,728.23598,316.145271,14,3.852261761723165e-15
182,LG+IO,-140.158667,308.317334,728.317334,316.226625,14,3.6987075447025515e-15
325,VT+IC,-140.218867,308.437733,728.437733,316.347024,14,3.4826167343536835e-15
181,LG+IC,-140.364556,308.729112,728.729112,316.638403,14,3.0104646824105514e-15
38,DCMut+IO,-140.870082,309.740164,729.740164,317.649455,14,1.8158768180058164e-15
20,Dayhoff+IO,-140.886258,309.772515,729.772515,317.681806,14,1.786740385999251e-15
37,DCMut+IC,-140.904931,309.809862,729.809862,317.719153,14,1.7536852772080325e-15
19,Dayhoff+IC,-140.921222,309.842444,729.842444,317.751735,14,1.7253474429140618e-15
164,JTT-DCMut+IO,-140.984784,309.969567,729.969567,317.878858,14,1.6190943446122741e-15
163,JTT-DCMut+IC,-141.018959,310.037919,730.037919,317.94721,14,1.5646950462583999e-15
146,JTT+IO,-141.218631,310.437262,730.437262,318.346553,14,1.2814848521980597e-15
145,JTT+IC,-141.252844,310.505689,730.505689,318.41498,14,1.238382318908074e-15
9,cpREV+G8,-141.703378,311.406755,731.406755,319.316046,14,7.892066697290829e-16
117,HIVb+G8,-141.750218,311.500436,731.500436,319.409727,14,7.530922463171307e-16
99,FLU+G8,-143.893202,315.786403,735.786403,323.695694,14,8.834099110948044e-17
1,cpREV+IC,-144.694408,317.388815,737.388815,325.298106,14,3.964632371479605e-17
315,stmtREV+G8,-145.161013,318.322026,738.322026,326.231317,14,2.4863297631278682e-17
135,HIVw+G8,-145.767074,319.534149,739.534149,327.44344,14,1.3562806435473143e-17
261,mtZOA+G8,-146.201966,320.403931,740.403931,328.313222,14,8.77968232532006e-18
110,HIVb+IO,-146.632218,321.264435,741.264435,329.173726,14,5.709824144403999e-18
109,HIVb+IC,-146.65294,321.305881,741.305881,329.215172,14,5.592717054639273e-18
308,stmtREV+IO,-146.693903,321.387805,741.387805,329.297096,14,5.36825673447882e-18
307,stmtREV+IC,-146.719988,321.439976,741.439976,329.349267,14,5.2300337194310945e-18
243,mtREV+G8,-147.65835,323.3167,743.3167,331.225991,14,2.046345921573216e-18
207,mtART+G8,-148.778396,325.556792,745.556792,333.466083,14,6.67650614383955e-19
92,FLU+IO,-149.355648,326.711295,746.711295,334.620586,14,3.7484533629491473e-19
128,HIVw+IO,-149.356434,326.712868,746.712868,334.622159,14,3.7455063634386445e-19
254,mtZOA+IO,-150.957379,329.914757,749.914757,337.824048,14,7.554907947640868e-20
253,mtZOA+IC,-151.104598,330.209196,750.209196,338.118487,14,6.520675085856293e-20
225,mtMAM+G8,-152.167524,332.335047,752.335047,340.244338,14,2.2525263563272198e-20
200,mtART+IO,-154.725463,337.450926,757.450926,345.360217,14,1.7449013207608664e-21
199,mtART+IC,-154.798941,337.597881,757.597881,345.507172,14,1.6212873665136052e-21
108,HIVb,-185.626648,397.253296,761.253296,404.597638,13,2.606734001524071e-22
218,mtMAM+IO,-160.758125,349.516249,769.516249,357.42554,14,4.186193227316457e-24
126,HIVw,-192.042921,410.085842,774.085842,417.430183,13,4.261325986666944e-25
299,rtREV+G8+IO,-133.326568,296.653135,776.653135,305.127376,15,1.1804950404712567e-25
298,rtREV+G8+IC,-133.779508,297.559016,777.559016,306.033256,15,7.505067577072366e-26
65,DEN+G8+IO,-135.355516,300.711031,780.711031,309.185272,15,1.5520412023558747e-26
64,DEN+G8+IC,-135.597544,301.195089,781.195089,309.669329,15,1.2184041994903168e-26
281,PMB+G8+IO,-136.425462,302.850923,782.850923,311.325163,15,5.323921001900539e-27
280,PMB+G8+IC,-137.022383,304.044765,784.044765,312.519006,15,2.930839973479463e-27
353,WAG+G8+IO,-137.598277,305.196554,785.196554,313.670794,15,1.647723374818908e-27
83,Blosum62+G8+IO,-137.707635,305.415269,785.415269,313.889509,15,1.4770355352207031e-27
352,WAG+G8+IC,-138.111888,306.223777,786.223777,314.698017,15,9.858836457440252e-28
191,LG+G8+IO,-138.173219,306.346438,786.346438,314.820678,15,9.272357435711549e-28
335,VT+G8+IO,-138.266234,306.532468,786.532468,315.006709,15,8.448785095116203e-28
82,Blosum62+G8+IC,-138.327158,306.654316,786.654316,315.128556,15,7.949417498131011e-28
334,VT+G8+IC,-138.71576,307.431519,787.431519,315.90576,15,5.38974004864695e-28
190,LG+G8+IC,-138.725503,307.451006,787.451006,315.925247,15,5.3374801271993005e-28
173,JTT-DCMut+G8+IO,-138.974172,307.948343,787.948343,316.422584,15,4.16237221321109e-28
