,model,L,AIC,AICc,BIC,N,p
288,rtREV,-135.20116,296.40232,660.40232,303.746662,13,0.8433958434279766
270,PMB,-137.896135,301.792269,665.792269,309.136611,13,0.05696641666871043
54,DEN,-138.082778,302.165556,666.165556,309.509898,13,0.04726728527408711
72,Blosum62,-139.07452,304.14904,668.14904,311.493382,13,0.01753285260876065
342,WAG,-139.283283,304.566565,668.566565,311.910907,13,0.014229452167593422
180,LG,-139.651364,305.302729,669.302729,312.64707,13,0.009847640791555623
324,VT,-139.801378,305.602756,669.602756,312.947098,13,0.008475828553802855
162,JTT-DCMut,-142.140853,310.281707,674.281707,317.626049,13,0.0008168848904164577
144,JTT,-142.39247,310.784941,674.784941,318.129282,13,0.0006351627034198788
36,DCMut,-142.887882,311.775765,675.775765,319.120106,13,0.0003870172214577593
18,Dayhoff,-142.890182,311.780365,675.780365,319.124706,13,0.00038612810472460525
0,cpREV,-144.799328,315.598656,679.598656,322.942997,13,5.7226878503940665e-05
108,HIVb,-148.654418,323.308835,687.308835,330.653177,13,1.2115907818909542e-06
306,stmtREV,-149.24374,324.487479,688.487479,331.831821,13,6.72073339623472e-07
90,FLU,-150.473058,326.946116,690.946116,334.290458,13,1.9657596971376816e-07
252,mtZOA,-150.822249,327.644498,691.644498,334.988839,13,1.3863685644369672e-07
126,HIVw,-152.145597,330.291194,694.291194,337.635535,13,3.6911013336279385e-08
234,mtREV,-154.711393,335.422786,699.422786,342.767128,13,2.836905855960978e-09
198,mtART,-155.021034,336.042069,700.042069,343.386411,13,2.081466036982337e-09
297,rtREV+G8,-133.06193,294.123861,714.123861,302.033152,14,1.8219944448343626e-12
290,rtREV+IO,-135.196977,298.393954,718.393954,306.303245,14,2.1543096902497619e-13
63,DEN+G8,-135.242865,298.48573,718.48573,306.395021,14,2.0576866017366878e-13
289,rtREV+IC,-135.609361,299.218722,719.218722,307.128013,14,1.4263038001555333e-13
279,PMB+G8,-136.154414,300.308829,720.308829,308.21812,14,8.269862941163118e-14
351,WAG+G8,-137.298889,302.597779,722.597779,310.50707,14,2.633050173263956e-14
81,Blosum62+G8,-137.452176,302.904352,722.904352,310.813643,14,2.2588513590693316e-14
272,PMB+IO,-137.699755,303.39951,723.39951,311.308801,14,1.76345937857856e-14
56,DEN+IO,-137.800793,303.601585,723.601585,311.510876,14,1.593989408725895e-14
189,LG+G8,-137.81903,303.638059,723.638059,311.54735,14,1.5651832908416312e-14
271,PMB+IC,-137.884278,303.768556,723.768556,311.677847,14,1.4663179107908734e-14
55,DEN+IC,-137.940179,303.880358,723.880358,311.789649,14,1.3865982367404426e-14
333,VT+G8,-138.007283,304.014566,724.014566,311.923857,14,1.2966051632324737e-14
171,JTT-DCMut+G8,-138.912401,305.824802,725.824802,313.734093,14,5.244692059505636e-15
74,Blosum62+IO,-138.94289,305.88578,725.88578,313.795071,14,5.087199734986923e-15
45,DCMut+G8,-139.08722,306.174439,726.174439,314.08373,14,4.4034927325293164e-15
27,Dayhoff+G8,-139.101338,306.202676,726.202676,314.111967,14,4.341758840818668e-15
153,JTT+G8,-139.143418,306.286836,726.286836,314.196127,14,4.162848305808512e-15
344,WAG+IO,-139.163536,306.327072,726.327072,314.236363,14,4.079936925567821e-15
73,Blosum62+IC,-139.177632,306.355264,726.355264,314.264555,14,4.0228295728730314e-15
343,WAG+IC,-139.37392,306.747839,726.747839,314.65713,14,3.3058645542292936e-15
182,LG+IO,-139.584576,307.169153,727.169153,315.078444,14,2.677921754289165e-15
326,VT+IO,-139.633051,307.266102,727.266102,315.175393,14,2.5512068682560223e-15
325,VT+IC,-139.814113,307.628225,727.628225,315.537516,14,2.1286862999872356e-15
181,LG+IC,-139.888568,307.777136,727.777136,315.686427,14,1.975950461414241e-15
38,DCMut+IO,-140.870082,309.740164,729.740164,317.649455,14,7.404742119080131e-16
20,Dayhoff+IO,-140.886258,309.772515,729.772515,317.681806,14,7.285930224385829e-16
37,DCMut+IC,-140.904931,309.809862,729.809862,317.719153,14,7.151138836616525e-16
19,Dayhoff+IC,-140.921222,309.842444,729.842444,317.751735,14,7.035583445920741e-16
164,JTT-DCMut+IO,-140.984784,309.969567,729.969567,317.878858,14,6.602306923814995e-16
163,JTT-DCMut+IC,-141.018959,310.037919,730.037919,317.94721,14,6.380478674357136e-16
146,JTT+IO,-141.218631,310.437262,730.437262,318.346553,14,5.225610441161408e-16
145,JTT+IC,-141.252844,310.505689,730.505689,318.41498,14,5.04984788913879e-16
117,HIVb+G8,-141.713599,311.427199,731.427199,319.33649,14,3.1854804388493646e-16
9,cpREV+G8,-141.754608,311.509216,731.509216,319.418507,14,3.0574909293030686e-16
99,FLU+G8,-143.871262,315.742524,735.742524,323.651815,14,3.6822563941498876e-17
2,cpREV+IO,-144.540713,317.081426,737.081426,324.990717,14,1.8852769154622777e-17
1,cpREV+IC,-144.702748,317.405496,737.405496,325.314787,14,1.603261055758669e-17
315,stmtREV+G8,-145.160369,318.320739,738.320739,326.23003,14,1.0145226586857637e-17
135,HIVw+G8,-145.750417,319.500834,739.500834,327.410125,14,5.6235087838976244e-18
261,mtZOA+G8,-146.103598,320.207196,740.207196,328.116487,14,3.950233961265556e-18
308,stmtREV+IO,-146.483999,320.967997,740.967997,328.877288,14,2.700330864362585e-18
307,stmtREV+IC,-146.515117,321.030235,741.030235,328.939526,14,2.6175933000855096e-18
110,HIVb+IO,-146.624982,321.249963,741.249963,329.159254,14,2.345248362629495e-18
109,HIVb+IC,-146.65294,321.305881,741.305881,329.215172,14,2.2805857271785788e-18
243,mtREV+G8,-147.52459,323.04918,743.04918,330.958471,14,9.53880199807553e-19
207,mtART+G8,-148.764976,325.529952,745.529952,333.439243,14,2.7593134557048506e-19
92,FLU+IO,-149.355702,326.711404,746.711404,334.620695,14,1.528452676086535e-19
128,HIVw+IO,-149.357626,326.715253,746.715253,334.624544,14,1.5255139975618574e-19
254,mtZOA+IO,-150.561679,329.123358,749.123358,337.032649,14,4.576177276619712e-20
253,mtZOA+IC,-150.779672,329.559345,749.559345,337.468636,14,3.6798444926178495e-20
225,mtMAM+G8,-152.032916,332.065833,752.065833,339.975124,14,1.050878513473866e-20
200,mtART+IO,-154.39034,336.780679,756.780679,344.68997,14,9.948021426961802e-22
199,mtART+IC,-154.515219,337.030439,757.030439,344.93973,14,8.780151651122383e-22
218,mtMAM+IO,-160.75552,349.511039,769.511039,357.42033,14,1.711489195052653e-24
299,rtREV+G8+IO,-133.059747,296.119493,776.119493,304.593733,15,6.285887566064554e-26
298,rtREV+G8+IC,-133.775852,297.551705,777.551705,306.025945,15,3.071607535679813e-26
65,DEN+G8+IO,-135.218612,300.437225,780.437225,308.911465,15,7.257432707965202e-27
64,DEN+G8+IC,-135.656355,301.31271,781.31271,309.786951,15,4.68461457675895e-27
281,PMB+G8+IO,-136.15544,302.310879,782.310879,310.785119,15,2.843964828084115e-27
280,PMB+G8+IC,-136.840858,303.681715,783.681715,312.155956,15,1.4330157572964947e-27
353,WAG+G8+IO,-137.299691,304.599383,784.599383,313.073623,15,9.056948360816968e-28
83,Blosum62+G8+IO,-137.453168,304.906335,784.906335,313.380575,15,7.768337968255918e-28
191,LG+G8+IO,-137.819365,305.63873,785.63873,314.11297,15,5.386300242375118e-28
352,WAG+G8+IC,-137.982767,305.965533,785.965533,314.439774,15,4.574316267351451e-28
335,VT+G8+IO,-138.008636,306.017272,786.017272,314.491512,15,4.4574985158504535e-28
82,Blosum62+G8+IC,-138.156023,306.312046,786.312046,314.786286,15,3.846642684266066e-28
190,LG+G8+IC,-138.554066,307.108132,787.108132,315.582372,15,2.5835327307095215e-28
334,VT+G8+IC,-138.630423,307.260847,787.260847,315.735087,15,2.3936041385415895e-28
173,JTT-DCMut+G8+IO,-138.916799,307.833597,787.833597,316.307837,15,1.797551098593925e-28
47,DCMut+G8+IO,-139.102105,308.204211,788.204211,316.678451,15,1.4934938454866383e-28
29,Dayhoff+G8+IO,-139.116146,308.232291,788.232291,316.706531,15,1.4726717053596713e-28
155,JTT+G8+IO,-139.148828,308.297656,788.297656,316.771897,15,1.4253191275413292e-28
172,JTT-DCMut+G8+IC,-139.16766,308.335321,788.335321,316.809561,15,1.3987279798696242e-28
154,JTT+G8+IC,-139.381914,308.763829,788.763829,317.238069,15,1.1289739798213975e-28
